2025-08-25T10:51:43.833927 INFO   [event-publisher] [Bolt::Outputter::Logger] Starting: file upload from C:/Users/derek/Epic/PackerGoldenImage/bolt/windows_config/files/puppet.conf to C:/ProgramData/PuppetLabs/puppet/etc/puppet.conf on localhost
2025-08-25T10:51:44.604428 INFO   [exec-worker-1] [Bolt::Executor] {"target":"localhost","action":"upload","object":"C:/Users/derek/Epic/PackerGoldenImage/bolt/windows_config/files/puppet.conf","status":"success","value":{"_output":"Uploaded 'C:/Users/derek/Epic/PackerGoldenImage/bolt/windows_config/files/puppet.conf' to 'localhost:C:/ProgramData/PuppetLabs/puppet/etc/puppet.conf'"}}
2025-08-25T10:51:44.605724 INFO   [event-publisher] [Bolt::Outputter::Logger] Finished: file upload from C:/Users/derek/Epic/PackerGoldenImage/bolt/windows_config/files/puppet.conf to C:/ProgramData/PuppetLabs/puppet/etc/puppet.conf with 0 failures in 0.77 sec
2025-08-25T10:51:44.606098 INFO   [event-publisher] [Bolt::Outputter::Logger] Finished: plan windows_config::puppet in 44.3 sec
2025-08-25T10:51:44.620499 INFO   [event-publisher] [Bolt::Outputter::Logger] Starting: plan windows_config::aws
2025-08-25T10:51:44.621164 INFO   [event-publisher] [Bolt::Outputter::Logger] Starting: command 'powershell.exe -NoProfile -ExecutionPolicy Bypass -Command "Invoke-WebRequest -UseBasicParsing -Uri 'https://dl.cloudsmith.io/em69KjexQOI0d8rA/epic-it/build_services/raw/versions/latest/AWSCLIV2.msi' -OutFile 'C:\temp\AWSCLIV2.msi'"' on localhost
2025-08-25T10:51:44.620626 INFO   [exec-worker-1] [Bolt::Executor] Running command 'powershell.exe -NoProfile -ExecutionPolicy Bypass -Command "Invoke-WebRequest -UseBasicParsing -Uri 'https://dl.cloudsmith.io/em69KjexQOI0d8rA/epic-it/build_services/raw/versions/latest/AWSCLIV2.msi' -OutFile 'C:\temp\AWSCLIV2.msi'"' on ["localhost"]
2025-08-25T10:51:44.621516 DEBUG  [exec-worker-1] [Bolt::Transport::Local] Running command 'powershell.exe -NoProfile -ExecutionPolicy Bypass -Command "Invoke-WebRequest -UseBasicParsing -Uri 'https://dl.cloudsmith.io/em69KjexQOI0d8rA/epic-it/build_services/raw/versions/latest/AWSCLIV2.msi' -OutFile 'C:\temp\AWSCLIV2.msi'"' on localhost
2025-08-25T10:52:10.805630 INFO   [exec-worker-1] [Bolt::Executor] {"target":"localhost","action":"command","object":"powershell.exe -NoProfile -ExecutionPolicy Bypass -Command \"Invoke-WebRequest -UseBasicParsing -Uri 'https://dl.cloudsmith.io/em69KjexQOI0d8rA/epic-it/build_services/raw/versions/latest/AWSCLIV2.msi' -OutFile 'C:\\temp\\AWSCLIV2.msi'\"","status":"success","value":{"stdout":"","stderr":"","merged_output":"","exit_code":0}}
2025-08-25T10:52:10.806795 INFO   [event-publisher] [Bolt::Outputter::Logger] Finished: command 'powershell.exe -NoProfile -ExecutionPolicy Bypass -Command "Invoke-WebRequest -UseBasicParsing -Uri 'https://dl.cloudsmith.io/em69KjexQOI0d8rA/epic-it/build_services/raw/versions/latest/AWSCLIV2.msi' -OutFile 'C:\temp\AWSCLIV2.msi'"' with 0 failures in 26.19 sec
